Crash ID,County,Crash Severity,Crash Time,Day of Week,Latitude,Longitude,Weather Condition
11230347,Harris,Killed,345,Friday,29.81686586,-95.64553308,Clear
11232793,Harris,Not Injured,240,Friday,29.73615953,-95.60589787,Unknown
11325494,Harris,Not Injured,51,Friday,29.62143675,-95.19936892,Clear
11337749,Harris,Not Injured,500,Friday,29.75483481,-95.62537302,Clear
11363168,Harris,Not Injured,2125,Friday,29.84629684,-95.54360327,Clear
11415964,Harris,Possible Injury,1925,Friday,29.73299481,-95.57180304,Clear
11416388,Harris,Not Injured,21,Friday,29.73430634,-95.37062836,Clear
11426036,Harris,Not Injured,246,Friday,29.80227666,-95.4612887,Clear
11775416,Harris,Unknown,2125,Friday,29.84629684,-95.54360327,Clear
11776736,Harris,Non-Incapacitating Injury,230,Friday,29.62579483,-95.3395831,Clear
14956816,Harris,Killed,525,Friday,29.77152621,-95.20111912,Clear
11233282,Harris,Non-Incapacitating Injury,2330,Saturday,29.84923479,-95.40298308,Clear
11330266,Harris,Non-Incapacitating Injury,223,Saturday,29.71661482,-95.55797304,Clear
11358472,Harris,Killed,1729,Saturday,29.81288894,-95.43550693,Cloudy
11232738,Harris,Unknown,430,Sunday,29.81442132,-95.4157794,Clear
11260025,Fort Bend,Unknown,900,Sunday,29.58873831,-95.49218613,Cloudy
11262323,Harris,Possible Injury,1145,Sunday,29.66743482,-95.58872304,Clear
11776684,Harris,Possible Injury,2345,Sunday,29.66743482,-95.58872304,Clear
11232930,Harris,Not Injured,1725,Monday,29.7704348,-95.41057308,Clear
11416227,Harris,Unknown,400,Monday,29.67886482,-95.36890309,Clear
11416712,Harris,Not Injured,1725,Monday,29.7704348,-95.41057308,Clear
11152351,Harris,Not Injured,2100,Tuesday,29.57931184,-95.14324474,Clear
11989017,Harris,Not Injured,1745,Tuesday,29.75763143,-95.33081,Clear
11164658,Harris,Not Injured,2255,Wednesday,29.71783481,-95.3204131,Cloudy
11683946,Harris,Not Injured,2137,Wednesday,29.7276348,-95.53924305,Rain
